% Moku:Oscilloscope
% Channel A (Input 1) - DC coupling, 1 MOhm impedance, 1 x probe attenuation
% Channel B (Input 2) - DC coupling, 1 MOhm impedance, 1 x probe attenuation
% Time span 3.000 s, time offset 1.740 s, Normal acquisition mode, 1 averages
% Edge trigger: Channel A, level 2.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 - Pulse, 50.000 000 Hz, 3.303 5 Vpp, offset 0.000 0 V, phase 0.000 deg, width 1.000 ms, edge 4.000 ns, output load 1 MOhm
% Output 2 - Ramp, 50.000 000 000 kHz, 500.9 mVpp, offset 0.000 0 V, phase 0.000 deg, symmetry 90.00 %, output load 50 Ohm
% Internal 10 MHz clock
% Acquired 2022-05-01 T 02:47:07 -0400
% Kite Propulsion Generator Prototype Iteration 1.0
% Time (s), Ch 1 (V)
1.966421352000e+00, 1.0584081589e-03
1.966616666000e+00, 1.0584081589e-03
1.966811980000e+00, 7.9380611920e-04
1.967007294000e+00, 1.8522142781e-03
1.967202608000e+00, 1.3230101987e-03
1.967397922000e+00, 7.9380611920e-04
1.967593236000e+00, 1.3230101987e-03
1.967788550000e+00, 7.9380611920e-04
1.967983864000e+00, 1.0584081589e-03
1.968179178000e+00, 5.2920407947e-04
1.968374492000e+00, 7.9380611920e-04
1.968569806000e+00, -1.3230101987e-03
1.968765120000e+00, 5.2920407947e-04
1.968960434000e+00, 7.9380611920e-04
1.969155748000e+00, -2.3814183576e-03
1.969351062000e+00, 0.0000000000e+00
1.969546376000e+00, 7.9380611920e-04
1.969741690000e+00, 1.0584081589e-03
1.969937004000e+00, 5.2920407947e-04
1.970132318000e+00, 2.6460203973e-04
1.970327632000e+00, 5.2920407947e-04
1.970522946000e+00, 2.6460203973e-04
1.970718260000e+00, 2.6460203973e-04
1.970913574000e+00, 0.0000000000e+00
1.971108888000e+00, 7.9380611920e-04
1.971304202000e+00, -1.3230101987e-03
1.971499516000e+00, 5.2920407947e-04
1.971694830000e+00, 1.0584081589e-03
1.971890144000e+00, -1.0584081589e-03
1.972085458000e+00, 2.6460203973e-04
1.972280772000e+00, 1.0584081589e-03
1.972476086000e+00, 7.9380611920e-04
1.972671400000e+00, 7.9380611920e-04
1.972866714000e+00, 6.3504489536e-03
1.973062028000e+00, -2.6460203973e-04
1.973257342000e+00, 5.2920407947e-04
1.973452656000e+00, 1.0584081589e-03
1.973647970000e+00, 5.2920407947e-04
1.973843284000e+00, 0.0000000000e+00
1.974038598000e+00, 2.6460203973e-04
1.974233912000e+00, 2.6460203973e-04
1.974429226000e+00, 1.0584081589e-03
1.974624540000e+00, 7.9380611920e-04
1.974819854000e+00, 7.9380611920e-04
1.975015168000e+00, 7.9380611920e-04
1.975210482000e+00, 5.2920407947e-04
1.975405796000e+00, 5.2920407947e-04
1.975601110000e+00, 5.2920407947e-04
1.975796424000e+00, 5.2920407947e-04
1.975991738000e+00, 1.0584081589e-03
1.976187052000e+00, -3.9690305960e-03
1.976382366000e+00, 7.9380611920e-04
1.976577680000e+00, 1.3230101987e-03
1.976772994000e+00, 2.6460203973e-04
1.976968308000e+00, -7.9380611920e-04
1.977163622000e+00, 5.2920407947e-04
1.977358936000e+00, 2.6460203973e-04
1.977554250000e+00, 7.9380611920e-04
1.977749564000e+00, 5.2920407947e-04
1.977944878000e+00, 7.9380611920e-04
1.978140192000e+00, 2.6460203973e-04
1.978335506000e+00, 2.6460203973e-04
1.978530820000e+00, 7.9380611920e-04
1.978726134000e+00, -7.9380611920e-04
1.978921448000e+00, 1.3230101987e-03
1.979116762000e+00, -5.2920407947e-04
1.979312076000e+00, 7.9380611920e-04
