% Moku:Oscilloscope
% Channel A (Input 1) - DC coupling, 1 MOhm impedance, 1 x probe attenuation
% Channel B (Input 2) - DC coupling, 1 MOhm impedance, 1 x probe attenuation
% Time span 3.000 s, time offset 1.740 s, Normal acquisition mode, 1 averages
% Edge trigger: Channel A, level 2.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 - Pulse, 50.000 000 Hz, 3.303 5 Vpp, offset 0.000 0 V, phase 0.000 deg, width 1.000 ms, edge 4.000 ns, output load 1 MOhm
% Output 2 - Ramp, 50.000 000 000 kHz, 500.9 mVpp, offset 0.000 0 V, phase 0.000 deg, symmetry 90.00 %, output load 50 Ohm
% Internal 10 MHz clock
% Acquired 2022-05-01 T 02:47:07 -0400
% Kite Propulsion Generator Prototype Iteration 1.0
% Time (s), Channel A (Input 1) (V), Channel B (Input 2) (V)
-2.608877763078e+00, -7.344865e-03, 4.042840e-03
-2.605945001297e+00, -5.475263e-03, -2.695226e-03
-2.603012239516e+00, -3.739204e-03, -2.695226e-03
-2.600079477734e+00, -3.472118e-03, -2.695226e-03
-2.597146715953e+00, -1.335430e-03, -1.347613e-03
-2.594213954172e+00, 6.677150e-04, 2.695226e-03
-2.591281192391e+00, 4.006290e-04, 0.000000e+00
-2.588348430609e+00, 6.677150e-04, 0.000000e+00
-2.585415668828e+00, 2.003145e-03, -6.738066e-03
-2.582482907047e+00, -1.201887e-03, -1.347613e-03
-2.579550145266e+00, -5.341720e-04, 1.347613e-03
-2.576617383484e+00, -4.006290e-04, 5.390453e-03
-2.573684621703e+00, 0.000000e+00, -1.347613e-03
-2.570751859922e+00, -9.348010e-04, -4.042840e-03
-2.567819098141e+00, -6.677150e-04, -2.695226e-03
-2.564886336359e+00, -6.677150e-04, -1.347613e-03
-2.561953574578e+00, 1.736059e-03, 2.695226e-03
-2.559020812797e+00, 2.136688e-03, 1.347613e-03
-2.556088051016e+00, 9.348010e-04, -1.347613e-03
-2.553155289234e+00, -4.006290e-04, -4.042840e-03
-2.550222527453e+00, -1.201887e-03, -4.042840e-03
-2.547289765672e+00, -5.341720e-04, 0.000000e+00
-2.544357003891e+00, -2.670860e-04, 2.695226e-03
-2.541424242109e+00, -1.201887e-03, 1.347613e-03
-2.538491480328e+00, -6.677150e-04, -4.042840e-03
-2.535558718547e+00, 1.869602e-03, -4.042840e-03
-2.532625956766e+00, -9.348010e-04, -4.042840e-03
-2.529693194984e+00, -2.003145e-03, 1.347613e-03
-2.526760433203e+00, -1.736059e-03, 2.695226e-03
-2.523827671422e+00, -2.670860e-04, 1.347613e-03
-2.520894909641e+00, -1.068344e-03, -1.347613e-03
-2.517962147859e+00, -1.602516e-03, -8.085679e-03
-2.515029386078e+00, 1.335430e-03, -1.347613e-03
-2.512096624297e+00, 4.540462e-03, 0.000000e+00
-2.509163862516e+00, 6.810693e-03, 4.042840e-03
-2.506231100734e+00, 7.745494e-03, 0.000000e+00
-2.503298338953e+00, 1.068344e-02, -5.390453e-03
-2.500365577172e+00, 1.054990e-02, -5.390453e-03
-2.497432815391e+00, 4.807548e-03, -1.347613e-03
-2.494500053609e+00, 1.068344e-03, 2.695226e-03
-2.491567291828e+00, 3.472118e-03, 1.347613e-03
-2.488634530047e+00, 9.348010e-04, -2.695226e-03
-2.485701768266e+00, 6.677150e-04, -5.390453e-03
-2.482769006484e+00, 2.003145e-03, -4.042840e-03
-2.479836244703e+00, 2.136688e-03, 1.347613e-03
-2.476903482922e+00, 4.540462e-03, 2.695226e-03
-2.473970721141e+00, 7.344865e-03, 0.000000e+00
-2.471037959359e+00, 1.095053e-02, -1.347613e-03
-2.468105197578e+00, 1.495682e-02, -5.390453e-03
-2.465172435797e+00, 1.776122e-02, 0.000000e+00
-2.462239674016e+00, 2.109979e-02, 1.347613e-03
-2.459306912234e+00, 2.483900e-02, 2.695226e-03
