% Moku:Oscilloscope
% Channel A (Input 1) - DC coupling, 1 MOhm impedance, 1 x probe attenuation
% Channel B (Input 2) - DC coupling, 1 MOhm impedance, 1 x probe attenuation
% Time span 3.000 s, time offset 1.740 s, Normal acquisition mode, 1 averages
% Edge trigger: Channel A, level 2.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 - Pulse, 50.000 000 Hz, 3.303 5 Vpp, offset 0.000 0 V, phase 0.000 deg, width 1.000 ms, edge 4.000 ns, output load 1 MOhm
% Output 2 - Ramp, 50.000 000 000 kHz, 500.9 mVpp, offset 0.000 0 V, phase 0.000 deg, symmetry 90.00 %, output load 50 Ohm
% Internal 10 MHz clock
% Acquired 2022-05-01 T 02:47:07 -0400
% Kite Propulsion Generator Prototype Iteration 1.0
% Statistics, Ch A Maximum (V), Ch A Minimum (V)
% Mean, 1.165437e-01, -1.365011e-01
% Min, 5.875082e-03, -2.025568e-01
% Max, 1.727808e-01, -5.073935e-03
% Std. dev., 5.902575e-02, 6.296557e-02
% Count, 178, 178
% Time (s), Ch A Maximum (V), Ch A Minimum (V)
-9.555408e+01, 5.874435e-03, -4.005296e-03
-9.545459e+01, 5.874435e-03, -3.871786e-03
-9.535243e+01, 5.874435e-03, -4.005296e-03
-9.525686e+01, 5.874435e-03, -3.871786e-03
-9.515411e+01, 5.874435e-03, -4.005296e-03
-9.505417e+01, 5.874435e-03, -4.005296e-03
-9.495407e+01, 5.874435e-03, -3.738277e-03
-9.485737e+01, 5.874435e-03, -3.738277e-03
-9.475482e+01, 5.874435e-03, -3.871786e-03
-9.465544e+01, 5.874435e-03, -3.738277e-03
-9.455310e+01, 5.874435e-03, -4.005296e-03
-9.445638e+01, 5.874435e-03, -3.871786e-03
-9.435528e+01, 5.874435e-03, -3.871786e-03
-9.425473e+01, 5.874435e-03, -3.871786e-03
-9.415611e+01, 5.874435e-03, -3.738277e-03
-9.405517e+01, 5.874435e-03, -3.738277e-03
-9.395008e+01, 5.874435e-03, -3.738277e-03
-9.385434e+01, 5.874435e-03, -3.738277e-03
-9.375416e+01, 5.874435e-03, -3.738277e-03
-9.365412e+01, 5.874435e-03, -3.738277e-03
-9.355432e+01, 5.874435e-03, -3.738277e-03
-9.343781e+01, nan, nan
-9.333786e+01, nan, nan
-9.318778e+01, nan, nan
-9.308782e+01, nan, nan
-9.298782e+01, nan, nan
-9.287135e+01, nan, nan
-9.277046e+01, nan, nan
-9.267047e+01, nan, nan
-9.257143e+01, nan, nan
-9.247120e+01, nan, nan
-9.237117e+01, nan, nan
-9.227081e+01, nan, nan
-9.217125e+01, nan, nan
-9.207128e+01, nan, nan
-9.197129e+01, nan, nan
-9.187070e+01, nan, nan
-9.177170e+01, nan, nan
-9.167072e+01, nan, nan
-9.157061e+01, nan, nan
-9.147236e+01, nan, nan
-9.137307e+01, nan, nan
-9.127446e+01, nan, nan
-9.117115e+01, nan, nan
-9.107116e+01, nan, nan
-9.097109e+01, nan, nan
-9.087301e+01, nan, nan
-9.077199e+01, nan, nan
-9.067187e+01, nan, nan
-9.057219e+01, nan, nan
-9.045532e+01, 5.340837e-03, -3.605065e-03
-9.035533e+01, 4.673232e-03, -3.738586e-03
-9.025476e+01, 4.673232e-03, -3.738586e-03
-9.015509e+01, 5.340837e-03, -3.605065e-03
-9.005522e+01, 5.340837e-03, -4.139148e-03
-8.995499e+01, 4.673232e-03, -3.738586e-03
-8.985474e+01, 5.340837e-03, -3.605065e-03
-8.975427e+01, 5.340837e-03, -3.605065e-03
-8.965505e+01, 3.872107e-03, -3.738586e-03
-8.955494e+01, 4.005628e-03, -3.738586e-03
-8.945492e+01, 5.340837e-03, -3.605065e-03
-8.935512e+01, 5.340837e-03, -3.605065e-03
-8.925510e+01, 3.872107e-03, -3.738586e-03
-8.915520e+01, 3.872107e-03, -3.738586e-03
-8.905520e+01, 5.340837e-03, -4.406190e-03
-8.895506e+01, 5.340837e-03, -4.272669e-03
-8.885525e+01, 4.539711e-03, -4.272669e-03
-8.875448e+01, 4.005628e-03, -4.406190e-03
-8.865527e+01, 4.539711e-03, -4.406190e-03
-8.855496e+01, 2.803939e-03, -4.272669e-03
-8.845448e+01, 2.803939e-03, -4.272669e-03
-8.835518e+01, 4.005628e-03, -4.406190e-03
